Number of ports,Number of containers,Limit height,Allowed rehandle,The Seqnumber of circulation,Instance,NumofCir,Numofport,Numofsta,Number of used rehandle
5,2000,12,0,9,2,9,5,82,0
5,2000,12,0,10,2,10,1,86,0
5,2000,12,0,10,2,10,2,86,0
5,2000,12,0,10,2,10,3,83,0
5,2000,12,0,10,2,10,4,83,0
5,2000,12,0,10,2,10,5,82,0
5,2000,12,0,11,2,11,1,86,0
5,2000,12,0,11,2,11,2,86,0
5,2000,12,0,11,2,11,3,83,0
5,2000,12,0,11,2,11,4,83,0
5,2000,12,0,11,2,11,5,82,0
5,2000,12,0,12,2,12,1,86,0
5,2000,12,0,12,2,12,2,86,0
5,2000,12,0,12,2,12,3,83,0
5,2000,12,0,12,2,12,4,83,0
5,2000,12,0,12,2,12,5,82,0
5,2000,12,0,13,2,13,1,86,0
5,2000,12,0,13,2,13,2,86,0
5,2000,12,0,13,2,13,3,83,0
5,2000,12,0,13,2,13,4,83,0
5,2000,12,0,13,2,13,5,82,0
5,2000,12,0,14,2,14,1,86,0
5,2000,12,0,14,2,14,2,86,0
5,2000,12,0,14,2,14,3,83,0
5,2000,12,0,14,2,14,4,83,0
5,2000,12,0,14,2,14,5,82,0
5,2000,12,0,15,2,15,1,86,0
5,2000,12,0,15,2,15,2,86,0
5,2000,12,0,15,2,15,3,83,0
5,2000,12,0,15,2,15,4,83,0
5,2000,12,0,15,2,15,5,82,0
5,2000,12,0,16,2,16,1,86,0
5,2000,12,0,16,2,16,2,86,0
5,2000,12,0,16,2,16,3,83,0
5,2000,12,0,16,2,16,4,83,0
5,2000,12,0,16,2,16,5,82,0
5,2000,12,0,17,2,17,1,86,0
5,2000,12,0,17,2,17,2,86,0
5,2000,12,0,17,2,17,3,83,0
5,2000,12,0,17,2,17,4,83,0
5,2000,12,0,17,2,17,5,82,0
5,2000,12,0,18,2,18,1,86,0
5,2000,12,0,18,2,18,2,86,0
5,2000,12,0,18,2,18,3,83,0
5,2000,12,0,18,2,18,4,83,0
5,2000,12,0,18,2,18,5,82,0
5,2000,12,0,19,2,19,1,86,0
5,2000,12,0,19,2,19,2,86,0
5,2000,12,0,19,2,19,3,83,0
5,2000,12,0,19,2,19,4,83,0
5,2000,12,0,19,2,19,5,82,0
5,2000,12,0,20,2,20,1,86,0
5,2000,12,0,20,2,20,2,86,0
5,2000,12,0,20,2,20,3,83,0
5,2000,12,0,20,2,20,4,83,0
5,2000,12,0,20,2,20,5,82,0
Number of ports,Number of containers,Limit height,Allowed rehandle,The Seqnumber of circulation,Instance,NumofCir,Numofport,Numofsta,Number of used rehandle
5,2000,12,0,1,3,1,1,31,0
5,2000,12,0,1,3,1,2,58,0
5,2000,12,0,1,3,1,3,77,0
5,2000,12,0,1,3,1,4,85,0
5,2000,12,0,1,3,1,5,86,0
5,2000,12,0,2,3,2,1,83,0
5,2000,12,0,2,3,2,2,83,0
5,2000,12,0,2,3,2,3,86,0
5,2000,12,0,2,3,2,4,85,0
5,2000,12,0,2,3,2,5,86,0
5,2000,12,0,3,3,3,1,83,0
5,2000,12,0,3,3,3,2,83,0
5,2000,12,0,3,3,3,3,86,0
5,2000,12,0,3,3,3,4,85,0
5,2000,12,0,3,3,3,5,86,0
5,2000,12,0,4,3,4,1,83,0
5,2000,12,0,4,3,4,2,83,0
5,2000,12,0,4,3,4,3,86,0
5,2000,12,0,4,3,4,4,85,0
5,2000,12,0,4,3,4,5,86,0
5,2000,12,0,5,3,5,1,83,0
5,2000,12,0,5,3,5,2,83,0
5,2000,12,0,5,3,5,3,86,0
5,2000,12,0,5,3,5,4,85,0
5,2000,12,0,5,3,5,5,86,0
5,2000,12,0,6,3,6,1,83,0
5,2000,12,0,6,3,6,2,83,0
5,2000,12,0,6,3,6,3,86,0
5,2000,12,0,6,3,6,4,85,0
5,2000,12,0,6,3,6,5,86,0
5,2000,12,0,7,3,7,1,83,0
5,2000,12,0,7,3,7,2,83,0
5,2000,12,0,7,3,7,3,86,0
5,2000,12,0,7,3,7,4,85,0
5,2000,12,0,7,3,7,5,86,0
5,2000,12,0,8,3,8,1,83,0
5,2000,12,0,8,3,8,2,83,0
5,2000,12,0,8,3,8,3,86,0
5,2000,12,0,8,3,8,4,85,0
5,2000,12,0,8,3,8,5,86,0
5,2000,12,0,9,3,9,1,83,0
5,2000,12,0,9,3,9,2,83,0
5,2000,12,0,9,3,9,3,86,0
5,2000,12,0,9,3,9,4,85,0
5,2000,12,0,9,3,9,5,86,0
5,2000,12,0,10,3,10,1,83,0
5,2000,12,0,10,3,10,2,83,0
5,2000,12,0,10,3,10,3,86,0
5,2000,12,0,10,3,10,4,85,0
5,2000,12,0,10,3,10,5,86,0
5,2000,12,0,11,3,11,1,83,0
5,2000,12,0,11,3,11,2,83,0
5,2000,12,0,11,3,11,3,86,0
5,2000,12,0,11,3,11,4,85,0
5,2000,12,0,11,3,11,5,86,0
5,2000,12,0,12,3,12,1,83,0
5,2000,12,0,12,3,12,2,83,0
5,2000,12,0,12,3,12,3,86,0
5,2000,12,0,12,3,12,4,85,0
5,2000,12,0,12,3,12,5,86,0
5,2000,12,0,13,3,13,1,83,0
5,2000,12,0,13,3,13,2,83,0
5,2000,12,0,13,3,13,3,86,0
5,2000,12,0,13,3,13,4,85,0
5,2000,12,0,13,3,13,5,86,0
5,2000,12,0,14,3,14,1,83,0
5,2000,12,0,14,3,14,2,83,0
5,2000,12,0,14,3,14,3,86,0
5,2000,12,0,14,3,14,4,85,0
5,2000,12,0,14,3,14,5,86,0
5,2000,12,0,15,3,15,1,83,0
5,2000,12,0,15,3,15,2,83,0
5,2000,12,0,15,3,15,3,86,0
5,2000,12,0,15,3,15,4,85,0
5,2000,12,0,15,3,15,5,86,0
5,2000,12,0,16,3,16,1,83,0
5,2000,12,0,16,3,16,2,83,0
5,2000,12,0,16,3,16,3,86,0
5,2000,12,0,16,3,16,4,85,0
5,2000,12,0,16,3,16,5,86,0
5,2000,12,0,17,3,17,1,83,0
5,2000,12,0,17,3,17,2,83,0
