NUmber of circulation,Number of ports,Number of containers,Limit height,Allowed rehandle,The Seqnumber of circulation,Instance,NumofCir,Numofport,Numofsta,Number of used rehandle
50,5,1000,4,0,39,0,39,1,129,0
50,5,1000,4,0,39,0,39,2,124,0
50,5,1000,4,0,39,0,39,3,122,0
50,5,1000,4,0,39,0,39,4,125,0
50,5,1000,4,0,39,0,39,5,130,0
50,5,1000,4,0,40,0,40,1,129,0
50,5,1000,4,0,40,0,40,2,124,0
50,5,1000,4,0,40,0,40,3,122,0
50,5,1000,4,0,40,0,40,4,125,0
50,5,1000,4,0,40,0,40,5,130,0
50,5,1000,4,0,41,0,41,1,129,0
50,5,1000,4,0,41,0,41,2,124,0
50,5,1000,4,0,41,0,41,3,122,0
50,5,1000,4,0,41,0,41,4,125,0
50,5,1000,4,0,41,0,41,5,130,0
50,5,1000,4,0,42,0,42,1,129,0
50,5,1000,4,0,42,0,42,2,124,0
50,5,1000,4,0,42,0,42,3,122,0
50,5,1000,4,0,42,0,42,4,125,0
50,5,1000,4,0,42,0,42,5,130,0
50,5,1000,4,0,43,0,43,1,129,0
50,5,1000,4,0,43,0,43,2,124,0
50,5,1000,4,0,43,0,43,3,122,0
50,5,1000,4,0,43,0,43,4,125,0
50,5,1000,4,0,43,0,43,5,130,0
50,5,1000,4,0,44,0,44,1,129,0
50,5,1000,4,0,44,0,44,2,124,0
50,5,1000,4,0,44,0,44,3,122,0
50,5,1000,4,0,44,0,44,4,125,0
50,5,1000,4,0,44,0,44,5,130,0
50,5,1000,4,0,45,0,45,1,129,0
50,5,1000,4,0,45,0,45,2,124,0
50,5,1000,4,0,45,0,45,3,122,0
50,5,1000,4,0,45,0,45,4,125,0
50,5,1000,4,0,45,0,45,5,130,0
50,5,1000,4,0,46,0,46,1,129,0
50,5,1000,4,0,46,0,46,2,124,0
50,5,1000,4,0,46,0,46,3,122,0
50,5,1000,4,0,46,0,46,4,125,0
50,5,1000,4,0,46,0,46,5,130,0
50,5,1000,4,0,47,0,47,1,129,0
50,5,1000,4,0,47,0,47,2,124,0
50,5,1000,4,0,47,0,47,3,122,0
50,5,1000,4,0,47,0,47,4,125,0
50,5,1000,4,0,47,0,47,5,130,0
50,5,1000,4,0,48,0,48,1,129,0
50,5,1000,4,0,48,0,48,2,124,0
50,5,1000,4,0,48,0,48,3,122,0
50,5,1000,4,0,48,0,48,4,125,0
50,5,1000,4,0,48,0,48,5,130,0
50,5,1000,4,0,49,0,49,1,129,0
50,5,1000,4,0,49,0,49,2,124,0
50,5,1000,4,0,49,0,49,3,122,0
50,5,1000,4,0,49,0,49,4,125,0
50,5,1000,4,0,49,0,49,5,130,0
50,5,1000,4,0,50,0,50,1,129,0
50,5,1000,4,0,50,0,50,2,124,0
50,5,1000,4,0,50,0,50,3,122,0
50,5,1000,4,0,50,0,50,4,125,0
50,5,1000,4,0,50,0,50,5,130,0
NUmber of circulation,Number of ports,Number of containers,Limit height,Allowed rehandle,The Seqnumber of circulation,Instance,NumofCir,Numofport,Numofsta,Number of used rehandle
50,5,1000,4,0,1,1,1,1,51,0
50,5,1000,4,0,1,1,1,2,90,0
50,5,1000,4,0,1,1,1,3,113,0
50,5,1000,4,0,1,1,1,4,125,0
50,5,1000,4,0,1,1,1,5,126,0
50,5,1000,4,0,2,1,2,1,128,0
50,5,1000,4,0,2,1,2,2,131,0
50,5,1000,4,0,2,1,2,3,128,0
50,5,1000,4,0,2,1,2,4,125,0
50,5,1000,4,0,2,1,2,5,126,0
50,5,1000,4,0,3,1,3,1,128,0
50,5,1000,4,0,3,1,3,2,131,0
50,5,1000,4,0,3,1,3,3,128,0
50,5,1000,4,0,3,1,3,4,125,0
50,5,1000,4,0,3,1,3,5,126,0
50,5,1000,4,0,4,1,4,1,128,0
50,5,1000,4,0,4,1,4,2,131,0
50,5,1000,4,0,4,1,4,3,128,0
50,5,1000,4,0,4,1,4,4,125,0
50,5,1000,4,0,4,1,4,5,126,0
50,5,1000,4,0,5,1,5,1,128,0
50,5,1000,4,0,5,1,5,2,131,0
50,5,1000,4,0,5,1,5,3,128,0
50,5,1000,4,0,5,1,5,4,125,0
50,5,1000,4,0,5,1,5,5,126,0
50,5,1000,4,0,6,1,6,1,128,0
50,5,1000,4,0,6,1,6,2,131,0
50,5,1000,4,0,6,1,6,3,128,0
50,5,1000,4,0,6,1,6,4,125,0
50,5,1000,4,0,6,1,6,5,126,0
50,5,1000,4,0,7,1,7,1,128,0
50,5,1000,4,0,7,1,7,2,131,0
50,5,1000,4,0,7,1,7,3,128,0
50,5,1000,4,0,7,1,7,4,125,0
50,5,1000,4,0,7,1,7,5,126,0
50,5,1000,4,0,8,1,8,1,128,0
50,5,1000,4,0,8,1,8,2,131,0
50,5,1000,4,0,8,1,8,3,128,0
50,5,1000,4,0,8,1,8,4,125,0
50,5,1000,4,0,8,1,8,5,126,0
50,5,1000,4,0,9,1,9,1,128,0
50,5,1000,4,0,9,1,9,2,131,0
50,5,1000,4,0,9,1,9,3,128,0
50,5,1000,4,0,9,1,9,4,125,0
50,5,1000,4,0,9,1,9,5,126,0
