Number of ports,Number of containers,Limit height,Allowed rehandle,The Seqnumber of circulation,Instance,NumofCir,Numofport,Numofsta,Number of used rehandle
5,1000,8,0,10,2,10,5,65,0
5,1000,8,0,11,2,11,1,66,0
5,1000,8,0,11,2,11,2,66,0
5,1000,8,0,11,2,11,3,62,0
5,1000,8,0,11,2,11,4,64,0
5,1000,8,0,11,2,11,5,65,0
5,1000,8,0,12,2,12,1,66,0
5,1000,8,0,12,2,12,2,66,0
5,1000,8,0,12,2,12,3,62,0
5,1000,8,0,12,2,12,4,64,0
5,1000,8,0,12,2,12,5,65,0
5,1000,8,0,13,2,13,1,66,0
5,1000,8,0,13,2,13,2,66,0
5,1000,8,0,13,2,13,3,62,0
5,1000,8,0,13,2,13,4,64,0
5,1000,8,0,13,2,13,5,65,0
5,1000,8,0,14,2,14,1,66,0
5,1000,8,0,14,2,14,2,66,0
5,1000,8,0,14,2,14,3,62,0
5,1000,8,0,14,2,14,4,64,0
5,1000,8,0,14,2,14,5,65,0
5,1000,8,0,15,2,15,1,66,0
5,1000,8,0,15,2,15,2,66,0
5,1000,8,0,15,2,15,3,62,0
5,1000,8,0,15,2,15,4,64,0
5,1000,8,0,15,2,15,5,65,0
5,1000,8,0,16,2,16,1,66,0
5,1000,8,0,16,2,16,2,66,0
5,1000,8,0,16,2,16,3,62,0
5,1000,8,0,16,2,16,4,64,0
5,1000,8,0,16,2,16,5,65,0
5,1000,8,0,17,2,17,1,66,0
5,1000,8,0,17,2,17,2,66,0
5,1000,8,0,17,2,17,3,62,0
5,1000,8,0,17,2,17,4,64,0
5,1000,8,0,17,2,17,5,65,0
5,1000,8,0,18,2,18,1,66,0
5,1000,8,0,18,2,18,2,66,0
5,1000,8,0,18,2,18,3,62,0
5,1000,8,0,18,2,18,4,64,0
5,1000,8,0,18,2,18,5,65,0
5,1000,8,0,19,2,19,1,66,0
5,1000,8,0,19,2,19,2,66,0
5,1000,8,0,19,2,19,3,62,0
5,1000,8,0,19,2,19,4,64,0
5,1000,8,0,19,2,19,5,65,0
5,1000,8,0,20,2,20,1,66,0
5,1000,8,0,20,2,20,2,66,0
5,1000,8,0,20,2,20,3,62,0
5,1000,8,0,20,2,20,4,64,0
5,1000,8,0,20,2,20,5,65,0
Number of ports,Number of containers,Limit height,Allowed rehandle,The Seqnumber of circulation,Instance,NumofCir,Numofport,Numofsta,Number of used rehandle
5,1000,8,0,1,3,1,1,23,0
5,1000,8,0,1,3,1,2,45,0
5,1000,8,0,1,3,1,3,58,0
5,1000,8,0,1,3,1,4,61,0
5,1000,8,0,1,3,1,5,63,0
5,1000,8,0,2,3,2,1,62,0
5,1000,8,0,2,3,2,2,64,0
5,1000,8,0,2,3,2,3,65,0
5,1000,8,0,2,3,2,4,61,0
5,1000,8,0,2,3,2,5,63,0
5,1000,8,0,3,3,3,1,62,0
5,1000,8,0,3,3,3,2,64,0
5,1000,8,0,3,3,3,3,65,0
5,1000,8,0,3,3,3,4,61,0
5,1000,8,0,3,3,3,5,63,0
5,1000,8,0,4,3,4,1,62,0
5,1000,8,0,4,3,4,2,64,0
5,1000,8,0,4,3,4,3,65,0
5,1000,8,0,4,3,4,4,61,0
5,1000,8,0,4,3,4,5,63,0
5,1000,8,0,5,3,5,1,62,0
5,1000,8,0,5,3,5,2,64,0
5,1000,8,0,5,3,5,3,65,0
5,1000,8,0,5,3,5,4,61,0
5,1000,8,0,5,3,5,5,63,0
5,1000,8,0,6,3,6,1,62,0
5,1000,8,0,6,3,6,2,64,0
5,1000,8,0,6,3,6,3,65,0
5,1000,8,0,6,3,6,4,61,0
5,1000,8,0,6,3,6,5,63,0
5,1000,8,0,7,3,7,1,62,0
5,1000,8,0,7,3,7,2,64,0
5,1000,8,0,7,3,7,3,65,0
5,1000,8,0,7,3,7,4,61,0
5,1000,8,0,7,3,7,5,63,0
5,1000,8,0,8,3,8,1,62,0
5,1000,8,0,8,3,8,2,64,0
5,1000,8,0,8,3,8,3,65,0
5,1000,8,0,8,3,8,4,61,0
5,1000,8,0,8,3,8,5,63,0
5,1000,8,0,9,3,9,1,62,0
5,1000,8,0,9,3,9,2,64,0
5,1000,8,0,9,3,9,3,65,0
5,1000,8,0,9,3,9,4,61,0
5,1000,8,0,9,3,9,5,63,0
5,1000,8,0,10,3,10,1,62,0
5,1000,8,0,10,3,10,2,64,0
5,1000,8,0,10,3,10,3,65,0
5,1000,8,0,10,3,10,4,61,0
5,1000,8,0,10,3,10,5,63,0
5,1000,8,0,11,3,11,1,62,0
5,1000,8,0,11,3,11,2,64,0
5,1000,8,0,11,3,11,3,65,0
